T;Eu_MPa;slidlag;t_slid_mm;bundet_baerelag;t_bundet_mm;E_asf_vist_MPa;t_SG_mm;t_BL_mm;levetid_styrende_aar;koblingshoejde_mm;bemaerkning
T1;5;AB 1000;40;-;0;1000;110;450;20,2;600;
T1;10;AB 1000;40;-;0;1000;100;356;20;496;SGII begrænset til minimustykklese 100
T1;15;AB 1000;40;-;0;1000;100;292;20,2;432;SGII begrænset til minimustykklese 100
T1;20;AB 1000;40;-;0;1000;100;243;20,1;383;SGII begrænset til minimustykklese 100
T1;30;AB 1000;40;-;0;1000;100;200;29,6;340;SGII begrænset til minimustykklese 100 og BLII begrænset til minimumstykkelse 200
T1;40;AB 1000;40;-;0;1000;100;200;30,1;340;SGII begrænset til minimustykklese 100 og BLII begrænset til minimumstykkelse 200
T2;5;AB 1000;40;BSM 800;140;1800;340;459;20,0;979;BSM begrænset til minimustykkelsen 125
T2;10;AB 1000;40;BSM 800;125;1800;240;447;20,1;852;BSM begrænset til minimustykkelsen 125
T2;15;AB 1000;40;BSM 800;125;1800;160;458;20,1;783;BSM begrænset til minimustykkelsen 125
T2;20;AB 1000;40;BSM 800;125;1800;120;442;20,0;727;BSM begrænset til minimustykkelsen 125
T2;30;AB 1000;40;BSM 800;125;1800;120;337;20,1;622;BSM begrænset til minimustykkelsen 125
T2;40;AB 1000;40;BSM 800;125;1800;120;262;20,1;547;BSM begrænset til minimustykkelsen 125
T3;5;AB 1000;40;BSM 800;230;1800;350;447;20,0;1067;
T3;10;AB 1000;40;BSM 800;370;1800;190;209;20,1;809;OBS på større bundet bærelag og mindre ubundet
T3;15;AB 1000;40;BSM 800;315;1800;180;208;20,1;743;OBS på større bundet bærelag og mindre ubundet
T3;20;AB 1000;40;BSM 800;270;1800;180;210;20,1;700;
T3;30;AB 1000;40;BSM 800;215;1800;180;200;20,3;635;BLII begrænset til minimumstykkelse 200
T3;40;AB 1000;40;BSM 800;180;1800;160;210;20,1;590;
T4;5;AB 2000;40;BSM 800;350;2000;350;460;20,1;1200;
T4;10;AB 2000;40;BSM 800;220;2000;340;470;20,0;1070;
T4;15;AB 2000;40;BSM 800;180;2000;250;538;20,1;1008;
T4;20;AB 2000;40;BSM 800;180;2000;240;459;20,1;919;
T4;30;AB 2000;40;BSM 800;200;2000;170;389;20,0;799;
T4;40;AB 2000;40;BSM 800;215;2000;150;298;20,1;703;
T5;5;AB 2000;40;GAB I 3000;132;3456;270;1042;20,0;1484;
T5;10;AB 2000;40;GAB I 3000;131;3448;260;818;20,1;1249;
T5;15;AB 2000;40;GAB I 3000;131;3448;250;689;20,0;1110;
T5;20;AB 2000;40;GAB I 3000;130;3440;250;590;20,1;1010;
T5;30;AB 2000;40;GAB I 3000;130;3440;240;459;20,1;869;
T5;40;AB 2000;40;GAB I 3000;129;3432;240;360;20,1;769;
T6;5;SMA 3000;40;GAB II 3000;142;3817;280;1117;20,0;1579;
T6;10;SMA 3000;40;GAB II 3000;141;3811;270;876;20,0;1327;
T6;15;SMA 3000;40;GAB II 3000;141;3811;270;723;20,0;1174;
T6;20;SMA 3000;40;GAB II 3000;141;3811;260;629;20,0;1070;
T6;30;SMA 3000;40;GAB II 3000;140;3805;260;478;20,0;918;
T6;40;SMA 3000;40;GAB II 3000;140;3805;260;370;20,1;810;
