T;Eu_MPa;slidlag;t_slid_mm;bindelag;t_bindelag_mm;bundet_baerelag;t_bundet_mm;E_asf_vist_MPa;t_SG_mm;t_BL_mm;levetid_styrende_aar;koblingshoejde_mm;bemaerkning
T2;5;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;370;458;20,1;948;
T2;10;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;250;458;20,0;828;
T2;15;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;190;446;20,1;756;
T2;20;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;160;419;20,1;699;
T2;30;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;140;346;20,2;606;
T2;40;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;140;272;20,1;532;
T3;5;AB 1000;40;-;0;GAB 0 2000;100;2538;430;449;20,0;1019;
T3;10;AB 1000;40;-;0;GAB 0 2000;100;2538;300;449;20,1;889;
T3;15;AB 1000;40;-;0;GAB 0 2000;100;2538;210;470;20,1;820;
T3;20;AB 1000;40;-;0;GAB 0 2000;100;2538;170;449;20,0;759;
T3;30;AB 1000;40;-;0;GAB 0 2000;100;2538;150;364;20,0;654;
T3;40;AB 1000;40;-;0;GAB 0 2000;100;2538;150;283;20,1;573;
T4;5;AB 2000;40;-;0;GAB 0 2000;120;2593;240;944;20,0;1344;VejDim beregner bundet lag - noter tykkelse
T4;10;AB 2000;40;-;0;GAB 0 2000;120;2593;230;740;20,0;1130;VejDim beregner bundet lag - noter tykkelse
T4;15;AB 2000;40;-;0;GAB 0 2000;119;2591;220;629;20,1;1008;VejDim beregner bundet lag - noter tykkelse
T4;20;AB 2000;40;-;0;GAB 0 2000;118;2588;220;539;20,0;917;VejDim beregner bundet lag - noter tykkelse
T4;30;AB 2000;40;-;0;GAB 0 2000;118;2588;220;409;20,1;787;VejDim beregner bundet lag - noter tykkelse
T4;40;AB 2000;40;-;0;GAB 0 2000;117;2586;220;319;20,0;696;VejDim beregner bundet lag - noter tykkelse
