T;Eu_MPa;slidlag;t_slid_mm;bindelag;t_bindelag_mm;bundet_baerelag;t_bundet_mm;E_asf_vist_MPa;t_SG_mm;t_BL_mm;levetid_styrende_aar;bemaerkning
T1;5;AB 1000;40;-;0;-;0;1000;110;450;20,2;
T1;10;AB 1000;40;-;0;-;0;1000;100;356;20;SGII begraenset til minimumstykkelse 100
T1;15;AB 1000;40;-;0;-;0;1000;100;292;20,2;SGII begraenset til minimumstykkelse 100
T1;20;AB 1000;40;-;0;-;0;1000;100;243;20,1;SGII begraenset til minimumstykkelse 100
T1;30;AB 1000;40;-;0;-;0;1000;100;200;29,6;SGII begraenset til minimumstykkelse 100 og BLII begraenset til minimumstykkelse 200
T1;40;AB 1000;40;-;0;-;0;1000;100;200;30,1;SGII begraenset til minimumstykkelse 100 og BLII begraenset til minimumstykkelse 200
T2;5;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;160;758;20,1;
T2;10;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;250;590;20;
T2;15;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;150;506;20,1;
T2;20;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;160;419;20,1;
T2;30;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;160;316;20,2;
T2;40;AB 1000;40;GAB 0 2000;40;GAB 0 2000;40;1744;150;257;20,1;
T3;5;AB 1000;40;-;0;GAB 0 2000;95;1862;200;818;20;
T3;10;AB 1000;40;-;0;GAB 0 2000;94;1854;190;649;20,1;
T3;15;AB 1000;40;-;0;GAB 0 2000;94;1854;190;539;20,1;
T3;20;AB 1000;40;-;0;GAB 0 2000;94;1854;190;460;20;
T3;30;AB 1000;40;-;0;GAB 0 2000;94;1854;200;334;20;
T3;40;AB 1000;40;-;0;GAB 0 2000;94;1854;200;255;20,1;
T4;5;AB 2000;40;-;0;GAB 0 2000;125;2362;240;944;20;VejDim beregner tykkelsen af det bundne baerelag
T4;10;AB 2000;40;-;0;GAB 0 2000;125;2362;230;739;20;VejDim beregner tykkelsen af det bundne baerelag
T4;15;AB 2000;40;-;0;GAB 0 2000;123;2355;220;629;20,1;VejDim beregner tykkelsen af det bundne baerelag
T4;20;AB 2000;40;-;0;GAB 0 2000;123;2355;220;537;20;VejDim beregner tykkelsen af det bundne baerelag
T4;30;AB 2000;40;-;0;GAB 0 2000;123;2355;230;392;20,1;VejDim beregner tykkelsen af det bundne baerelag
T4;40;AB 2000;40;-;0;GAB 0 2000;123;2355;230;301;20;VejDim beregner tykkelsen af det bundne baerelag
T5;5;AB 2000;40;-;0;GAB I 3000;132;3456;270;1042;20;VejDim beregner tykkelsen af det bundne baerelag
T5;10;AB 2000;40;-;0;GAB I 3000;131;3448;260;818;20,1;VejDim beregner tykkelsen af det bundne baerelag
T5;15;AB 2000;40;-;0;GAB I 3000;131;3448;250;689;20;VejDim beregner tykkelsen af det bundne baerelag
T5;20;AB 2000;40;-;0;GAB I 3000;130;3440;250;590;20,1;VejDim beregner tykkelsen af det bundne baerelag
T5;30;AB 2000;40;-;0;GAB I 3000;130;3440;240;459;20,1;VejDim beregner tykkelsen af det bundne baerelag
T5;40;AB 2000;40;-;0;GAB I 3000;129;3432;240;360;20,1;VejDim beregner tykkelsen af det bundne baerelag
T6;5;SMA 3000;40;-;0;GAB II 3000;142;3817;280;1117;20;VejDim beregner tykkelsen af det bundne baerelag
T6;10;SMA 3000;40;-;0;GAB II 3000;141;3811;270;876;20;VejDim beregner tykkelsen af det bundne baerelag
T6;15;SMA 3000;40;-;0;GAB II 3000;141;3811;270;723;20;VejDim beregner tykkelsen af det bundne baerelag
T6;20;SMA 3000;40;-;0;GAB II 3000;141;3811;260;629;20;VejDim beregner tykkelsen af det bundne baerelag
T6;30;SMA 3000;40;-;0;GAB II 3000;140;3805;260;478;20;VejDim beregner tykkelsen af det bundne baerelag
T6;40;SMA 3000;40;-;0;GAB II 3000;140;3805;260;370;20,1;VejDim beregner tykkelsen af det bundne baerelag
